sno,uni_fk,aqi,co,no2,so2,nh3,latitude,longitude,currency,geohash,drive_in,speed_in,timezone,what3words,city,state,address
1008,6388,0,NULL,NULL,NULL,NULL,50.868,-0.0877856,GBP,gcpcqh0p66nr1w7rkz42,left,mph,GMT,wipes.wiser.copper,,England,"University of Sussex, Park Village Road, Stanmer, BN1 9RW, United Kingdom"
1009,6389,0,NULL,NULL,NULL,NULL,13.7431,100.533,THB,w4rqptvg3vr9kw96kbsm,left,km/h,+07,awesome.unto.royally,Bangkok,Bangkok,"Chulalongkorn University, 254, Phaya Thai Road, Wang Mai Subdistrict, Pathum Wan District, Bangkok 10330, Thailand"
1010,6390,0,NULL,NULL,NULL,NULL,37.5971,127.052,KRW,wydmghk7jg7u2nt1mjr3,right,km/h,KST,teeth.suckle.oblige,Seoul,,"Kyung Hee University Seoul Campus, 26 Kyungheedae-ro, Hoegi-dong, Seoul, 02447, South Korea"
1011,6391,0,NULL,NULL,NULL,NULL,48.8411,2.58827,EUR,u09vfgk8p1skm7fgryj9,right,km/h,CET,dynamic.sunset.tornado,,Ile-de-France,"École des Ponts ParisTech, Avenue Blaise Pascal, 77420 Champs-sur-Marne, France"
1012,6392,0,NULL,NULL,NULL,NULL,25.0134,121.542,TWD,wsqqm9xctjb2eec4uk7w,right,km/h,CST,reap.asset.stretch,Taipei,,"National Taiwan University of Science and Technology, 43 Section 4, Keelung Road, Da'an District, Taipei 10607, Taiwan"
1013,6393,0,NULL,NULL,NULL,NULL,50.8504,4.34878,EUR,u1516cn9mfvmsskcu3q0,right,km/h,CET,itself.decades.toasted,,"Brussels Capital","Brussels, Bruxelles-Capitale, Belgium"
1014,6394,0,NULL,NULL,NULL,NULL,42.4065,-71.118,USD,drt3jxv7wqfm8q06th8t,right,mph,EST,logic.shows.bottom,Somerville,Massachusetts,"Tufts University, Simpson Avenue, Somerville, MA 02144, United States of America"
1015,6395,0,NULL,NULL,NULL,NULL,4.63874,-74.0852,COP,d2g66hky8u6c4ssrvvpy,right,km/h,-05,diamonds.stay.dishes,Bogota,,"National University of Colombia, Carrera 45 26-85, Teusaquillo, 111321 Bogota, Colombia"
1016,6396,0,NULL,NULL,NULL,NULL,48.8469,2.35745,EUR,u09tvsk9ud14ecvsqvce,right,km/h,CET,issuer.second.racks,Paris,Ile-de-France,"Sorbonne University, Rue Guy de la Brosse, 75005 Paris, France"
1017,6397,0,NULL,NULL,NULL,NULL,57.6986,11.9713,SEK,u6280rtnqmu4nc1013k4,right,km/h,CET,cars.sliding.dining,Gothenburg,,"University of Gothenburg, Universitetsplatsen 100, 405 30 Gothenburg, Sweden"
1018,6398,0,NULL,NULL,NULL,NULL,32.7768,35.0225,ILS,svbfkyydu2y04p4xfp9b,right,km/h,IST,chase.effort.tingled,Haifa,"Haifa District","Technion – Israel Institute of Technology, Rav Aluf Yaakov Dori, Haifa, Israel"
1019,6399,0,NULL,NULL,NULL,NULL,30.5398,114.36,CNY,wt3mdrd75r8vb4xcs2f1,right,km/h,CST,paper.renting.linked,"Wuchang District",Hubei,"Wuhan University, 299号 八一路, 中南路街道, 430072 Hubei, China"
1020,6400,0,NULL,NULL,NULL,NULL,53.2778,-9.06186,EUR,gc3x1fcme7gkwpeqk2x2,left,km/h,GMT,hurry.unrealistic.accent,,Connaught,"UCG, Co Galway, Ireland"
1021,6401,0,NULL,NULL,NULL,NULL,49.8717,8.65027,EUR,u0y5syfgtchg9bq9b41r,right,km/h,CET,lawful.starter.music,,Hesse,"Darmstadt, Hesse, Germany"
1022,6402,0,NULL,NULL,NULL,NULL,34.3659,-89.5254,USD,dn07db1s5gt1pwcq3cq3,right,mph,CST,snooze.rate.drank,,Mississippi,"University, Lafayette County, Mississippi, United States of America"
1023,6403,0,NULL,NULL,NULL,NULL,40.4862,-74.4518,USD,dr5n3f3c6f7m3xgyngp6,right,mph,EST,hunt.lunch.bought,,"New Jersey","New Brunswick, New Jersey, United States of America"
1024,6404,0,NULL,NULL,NULL,NULL,18.3,-74.1667,HTG,d772073mpr681ekv0r62,right,km/h,EST,tilts.tortoise.sanitarians,,Sud,"Paris, Sud, Haiti"
1025,6405,0,NULL,NULL,NULL,NULL,33.4521,-112.064,USD,9tbq3cv8r42scgwfvreq,right,mph,MST,glee.keeps.bumps,Phoenix,Arizona,"University of Arizona, East Polk Street, Phoenix, AZ 85004-1905, United States of America"
1026,6406,0,NULL,NULL,NULL,NULL,31.2847,121.497,CNY,wtw3uxpqu456z1uutk7x,right,km/h,CST,inches.dashes.weeded,"Yangpu District",,"Tongji University, 1239 Siping Road, 欧阳路街道, 200092 Yangpu District, China"
1027,6407,0,NULL,NULL,NULL,NULL,47.2627,11.3945,EUR,u22hg7ckbn2udsx9h2tk,right,km/h,CET,nesting.quickly.lend,,Tyrol,"Innsbruck, Innsbruck Stadt, Austria"
1028,6408,0,NULL,NULL,NULL,NULL,-37.7859,175.317,NZD,rck9j3mc2dxfrmep04hy,left,km/h,NZDT,outings.gear.allergy,Hamilton,Waikato,"University of Waikato, Tralee Place, Ruakura, Hamilton 3216, New Zealand"
1029,6409,0,NULL,NULL,NULL,NULL,25.3537,55.3996,AED,thx2hxkzbkqhbxwgpphj,right,km/h,+04,assume.miracles.late,Sharjah,"Sharjah Emirate","Khalifa University, Ibrahim Mohammed Al Medfa'a Street, Al Qasimia, Sharjah, Sharjah Emirate, United Arab Emirates"
1030,6410,0,NULL,NULL,NULL,NULL,56.4696,84.9468,RUB,vfh3jpbr5npf2nxwcmny,right,km/h,+07,usages.synthetic.boarding,Tomsk,"Tomsk Oblast","Tomsk State University, Lenin Avenue 36, Кировский район, Tomsk, Tomsk Oblast, Russia, 634050"
1031,6411,0,NULL,NULL,NULL,NULL,36.1071,140.101,JPY,xn7tkj44vfrymju7dt68,left,km/h,JST,tins.bracelets.rambles,Tsukuba,"Ibaraki Prefecture","University of Tsukuba, Fujisawa-Toyosato Line, Sakura 2-chome, Tsukuba, Ibaraki Prefecture 305-0003, Japan"
1032,6412,0,NULL,NULL,NULL,NULL,-37.8475,145.115,AUD,r1r0wnj6r2hdzxujth3c,left,km/h,AEDT,mini.table.bucks,Melbourne,Victoria,"Deakin University, 221 Burwood Highway, Burwood VIC 3125, Australia"
1033,6413,0,NULL,NULL,NULL,NULL,12.991,80.2329,INR,tf31cszy51ztt2cpv8d1,left,km/h,IST,hindered.outright.tapes,,"Tamil Nādu","IIT Madras, Chennai, India"
1034,6414,0,NULL,NULL,NULL,NULL,25.7173,-80.2787,USD,dhwfm1wvfx199nbk937p,right,mph,EST,silence.free.decency,,Florida,"University of Miami, M-Path, Coral Gables, FL 33124, United States of America"
1035,6415,0,NULL,NULL,NULL,NULL,-30,135,AUD,r48j248j248j248j248j,left,km/h,ACDT,triumphed.however.bulky,,"South Australia","South Australia, Australia"
1036,6416,0,NULL,NULL,NULL,NULL,51.2431,-0.59003,GBP,gcped8d2gq1s1ps5dd6j,left,mph,GMT,nasal.lined.boring,,England,"University of Surrey, Applegarth Avenue, Wood Street, GU2 7XH, United Kingdom"
1037,6417,0,NULL,NULL,NULL,NULL,25.3746,51.4898,QAR,ths87em9z6sq0jwz6fu0,right,km/h,+03,crossword.conquest.vibrates,Doha,"Al Daayen","Qatar University, Al Tarfa, Doha, Qatar"
1038,6418,0,NULL,NULL,NULL,NULL,39.9597,116.36,CNY,wx4erf6w63uqpxygdkh3,right,km/h,CST,estimate.rather.informed,"Haidian District",Beijing,"Beijing Normal University (BNU), 19 新街口外大街, 100875 Beijing, China"
1039,6419,0,NULL,NULL,NULL,NULL,45.7416,126.626,CNY,yb4h1rjbj6nytn6d41yj,right,km/h,CST,hinders.shut.exams,Harbin,Heilongjiang,"Harbin Institute of Technology, 文政街, 曲线街道办事处, 150000 Heilongjiang, China"
1040,6420,0,NULL,NULL,NULL,NULL,49.0833,9.66667,EUR,u0wz5zr51ezs4xeb09pv,right,km/h,CET,envisioned.unhook.fudging,,Baden-Württemberg,"Stuttgart, Baden-Württemberg, Germany"
1041,6421,0,NULL,NULL,NULL,NULL,44.6362,-63.592,CAD,dxfvbvv8xnfywp6w1ecy,right,km/h,AST,staging.panics.remove,Halifax,"Nova Scotia","Dalhousie University Studley Campus, Lord Dalhousie Drive, Halifax, NS B3H 4J1, Canada"
1042,6422,0,NULL,NULL,NULL,NULL,22.3397,87.325,INR,tgyp54u4hpybukuzqwfh,left,km/h,IST,campus.partners.last,,"West Bengal","Kharagpur, Paschim Medinipur, India"
1043,6423,0,NULL,NULL,NULL,NULL,34.3659,-89.5254,USD,dn07db1s5gt1pwcq3cq3,right,mph,CST,snooze.rate.drank,,Mississippi,"University, Lafayette County, Mississippi, United States of America"
1044,6424,0,NULL,NULL,NULL,NULL,45.4225,-75.6834,CAD,f244mucj3hvb4bgn6zp6,right,km/h,EST,parrot.averts.forget,"(Old) Ottawa",Ontario,"University of Ott awa, 75 Laurier Avenue East, (Old) Ottawa, ON K1N 6N5, Canada"
1045,6425,0,NULL,NULL,NULL,NULL,55.7659,37.6851,RUB,ucfv1xckn0bq64kc43j7,right,km/h,MSK,tips.flooding.harmless,,,"BMSTU, Russia"
1046,6426,0,NULL,NULL,NULL,NULL,35.7719,-78.6741,USD,dq2598p60uhfgy6jpcwz,right,mph,EST,flips.lines.burns,Raleigh,"North Carolina","North Carolina State University, District Drive, Raleigh, NC 27695, United States of America"
1047,6427,0,NULL,NULL,NULL,NULL,41.3893,2.19111,EUR,sp3e3yew02wsys8u8w5k,right,km/h,CET,format.spoiler.gliding,Barcelona,Catalonia,"Campus Ciutadella Universitat Pompeu Fabra, Carrer de Wellington, 08001 Barcelona, Spain"
1048,6428,0,NULL,NULL,NULL,NULL,-40.3845,175.617,NZD,rbufk20p3j31n64xm7fj,left,km/h,NZDT,frailer.refuting.temples,"Palmerston North",Manawatu-Whanganui,"Massey University, Turitea Road, Fitzherbert, Palmerston North 4118, New Zealand"
1049,6429,0,NULL,NULL,NULL,NULL,25.1191,121.512,TWD,wsqqvhf92pmergwzyh94,right,km/h,CST,thanks.package.smiled,Taipei,,"National Yang-Ming University, Section 2, Donghua Street, Beitou, Taipei 11265, Taiwan"
1050,6430,0,NULL,NULL,NULL,NULL,23.0996,113.292,CNY,ws0e6j0uzn5tk38rnqvd,right,km/h,CST,cracker.courtyard.skims,"Haizhu District","Guangdong Province","Sun Yat-sen University (South Campus), 135 Xingang West Road, 新港街道, 510275 Guangdong Province, China"
1051,6431,0,NULL,NULL,NULL,NULL,60.4562,22.2864,EUR,u6xzgjsqxdgj7jd2bs07,right,km/h,EET,friday.diamond.journey,Turku,,"University of Turku, 20014 Turku, Finland"
1052,6432,0,NULL,NULL,NULL,NULL,39.3302,-76.6219,USD,dqcx8rvej3hgp83ux14n,right,mph,EST,dared.encounter.awards,Baltimore,Maryland,"Johns Hopkins University - Homewood Campus, 3400 North Charles Street, Baltimore, MD 21218, United States of America"
1053,6433,0,NULL,NULL,NULL,NULL,26.5,80,INR,tu8yu2njxn593v8bk7qh,left,km/h,IST,apricot.transportation.drizzles,,"Uttar Pradesh","Kānpur, India"
1054,6434,0,NULL,NULL,NULL,NULL,51.4253,-0.564792,GBP,gcpse1stzqsq1838bfje,left,mph,GMT,labs.riches.simple,Runnymede,England,"Royal Holloway, Greenacre Court, Englefield Green, TW20 0BY, United Kingdom"
1055,6435,0,NULL,NULL,NULL,NULL,50.1155,8.68417,EUR,u0yjje785f43rmqtx9uk,right,km/h,CET,tracking.muddy.snips,,Hesse,"Frankfurt am Main, Hesse, Germany"
1056,6436,0,NULL,NULL,NULL,NULL,-42.9071,147.321,AUD,r22gbmh0prkfqs7uq41k,left,km/h,AEDT,grain.taxi.trouble,Hobart,Tasmania,"University of Tasmania, Marieville Esplanade, Sandy Bay TAS 7005, Australia"
1057,6437,0,NULL,NULL,NULL,NULL,0.758614,127.338,IDR,wb4s3dh75pzzhvk2jnb1,left,km/h,WIT,unchained.notches.explainer,Ternate,"North Maluku","University, Jalan Kh. Ahmad Dahlan Kelurahan Sasa, Kecamatan Ternate Selatan, Ternate 97719, North Maluku, Indonesia"
1058,6438,0,NULL,NULL,NULL,NULL,55.8619,-4.24196,GBP,gcuvz3r551rvjv8swmee,left,mph,GMT,sobs.sorry.deep,Glasgow,Scotland,"University of Strathclyde, Montrose Street, Glasgow, G1 1RE, United Kingdom"
1059,6439,0,NULL,NULL,NULL,NULL,40.3151,-3.72488,EUR,ezjm75pskn0tm76t11wd,right,km/h,CET,prongs.title.piles,Getafe,Madrid,"Universidad Carlos III de Madrid, Calle Velarde, 28903 Getafe, Spain"
1060,6440,0,NULL,NULL,NULL,NULL,4.97594,114.895,BND,w8csq3zfgnrtupdsz8uj,left,km/h,+08,toner.undermines.intervened,,,"University of Brunei Darussalam, Jalan Universiti, Tungku, BE1410, Brunei"
1061,6441,0,NULL,NULL,NULL,NULL,41.8205,1.86768,EUR,sp3mft0jb4g1hetpp0ny,right,km/h,CET,reopens.territories.surface,,Catalonia,"Catalonia, Spain"
1062,6442,0,NULL,NULL,NULL,NULL,58.3809,26.7196,EUR,ud7h05btkft5zu67x4pr,right,km/h,EET,jeeps.phantom.unfolds,Tartu,,"University of Tartu, Ülikooli 18, 50090 Tartu, Estonia"
1063,6443,0,NULL,NULL,NULL,NULL,35.9542,-90.46,USD,9yrst9309bms2qc3uey9,right,mph,CST,applaud.coverings.curries,,Arkansas,"State University, Arkansas, United States of America"
1064,6444,0,NULL,NULL,NULL,NULL,45.4643,9.18951,EUR,u0nd9he8e45q3t95gtu9,right,km/h,CET,fleet.sharp.greeting,,Lombardy,"Milan, Italy"
1065,6445,0,NULL,NULL,NULL,NULL,56.458,-2.98215,GBP,gfjchju7qzvnc8603ee6,left,mph,GMT,gazes.flow.warriors,Dundee,Scotland,"University of Dundee, Springfield, Dundee, DD1 4JE, United Kingdom"
1066,6447,0,NULL,NULL,NULL,NULL,42.3869,-72.5299,USD,drs3js33f3zxnwt02ytw,right,mph,EST,laying.drum.hurry,,Massachusetts,"University of Massachusetts Amherst, Boltwood Avenue, Amherst, MA 01004, United States of America"
1067,6448,0,NULL,NULL,NULL,NULL,34.2475,108.979,CNY,wqj6zfs445g89j86rk26,right,km/h,CST,belts.bill.riskiest,"Beilin District",Shaanxi,"Xian Jiaotong University, Youyi Rd(E), 710048 Shaanxi, China"
1068,6450,0,NULL,NULL,NULL,NULL,51.5073,-0.127833,GBP,gcpvj0dgt60fw8fxg7cz,left,mph,GMT,stable.scared.mile,,,"London, United Kingdom"
1069,6451,0,NULL,NULL,NULL,NULL,51.8911,-8.50033,EUR,gc1znw6r2j0y97kmk2xr,left,km/h,GMT,pirate.worked.intervals,Cork,Munster,"ASSERT Research Centre, College Road, Gillabbey C, Cork, County Cork, Ireland"
1070,6452,0,NULL,NULL,NULL,NULL,47.0667,15.45,EUR,u26gz84r5p4yz84671fv,right,km/h,CET,quack.valid.shrimps,,Styria,"Graz, Graz Stadt, Austria"
1071,6453,0,NULL,NULL,NULL,NULL,48.7326,2.16923,EUR,u09t1r7xfxp47cmc2fhf,right,km/h,CET,boldest.cubes.manage,,Île-de-France,"Saclay, Essonne, France"
1072,6454,0,NULL,NULL,NULL,NULL,39.1802,-86.5094,USD,dnfqzktc3mm433q53z5w,right,mph,EST,square.rate.flight,Bloomington,Indiana,"Indiana University Bloomington, East University Road, Bloomington, IN 47405, United States of America"
1073,6455,0,NULL,NULL,NULL,NULL,55.9103,-3.32345,GBP,gcvwh65vn49cv6j2dev2,left,mph,GMT,tall.motor.pest,"City of Edinburgh",Scotland,"Heriot-Watt University, Malcolmstone, Long Dalmahoy Road, City of Edinburgh, EH14 4AS, United Kingdom"
1074,6456,0,NULL,NULL,NULL,NULL,13.7657,100.533,THB,w4rqr9yp5by2s4w75n5v,left,km/h,+07,armful.strut.darling,Bangkok,Bangkok,"Rajchanakharintra building, Tropical Medicine hospital, Faculty of Tropical Medicine, Mahidol University, 420/6, Ratchawithi Road, Thung Phaya Thai Subdistrict, Ratchathewi District, Bangkok 10400, Thailand"
1075,6457,0,NULL,NULL,NULL,NULL,49.2767,-122.918,CAD,c2b86ftcxs7n6xrkv9n5,right,km/h,PST,immunity.device.tiny,Burnaby,"British Columbia","Simon Fraser University, University Drive East, Burnaby, BC V5A 0A1, Canada"
1076,6458,0,NULL,NULL,NULL,NULL,49.4967,8.47955,EUR,u0y18fwe5z6zbpd9hnt8,right,km/h,CET,caves.forest.buffoon,,Baden-Württemberg,"Mannheim, Baden-Württemberg, Germany"
1077,6459,0,NULL,NULL,NULL,NULL,52.6211,1.23562,GBP,u12gk57gbhbp55v80r1f,left,mph,GMT,armed.eating.resist,Norwich,England,"University of East Anglia, University Drive, Norwich, NR4 7TJ, United Kingdom"
1078,6461,0,NULL,NULL,NULL,NULL,-27.5466,153.064,AUD,r7hg716128bt9cgr7ht1,left,km/h,AEST,chest.rapid.faded,"Brisbane City",Queensland,"Griffith University, Pacific Motorway, Mount Gravatt QLD 4111, Australia"
1079,6462,0,NULL,NULL,NULL,NULL,-7.7695,110.38,IDR,qqw7zc8e2scu44yw40ys,left,km/h,WIB,cowboy.skinning.cargo,,"Special Region of Yogyakarta","Universitas Gadjah Mada, Jalan Kesehatan, Catur tunggal 55222, Special Region of Yogyakarta, Indonesia"
1080,6465,0,NULL,NULL,NULL,NULL,57.0159,9.97531,DKK,u4ph6grv9x2vtbwb7sd3,right,km/h,CET,tramps.trees.stutter,Aalborg,"North Denmark Region","Aalborg University, Sigrid Undsets Vej, 9220 Aalborg Øst, Denmark"
1081,6466,0,NULL,NULL,NULL,NULL,34.3659,-89.5254,USD,dn07db1s5gt1pwcq3cq3,right,mph,CST,snooze.rate.drank,,Mississippi,"University, Lafayette County, Mississippi, United States of America"
1082,6468,0,NULL,NULL,NULL,NULL,37.2219,-80.4273,USD,dnwgcb49kw01b3hs0dn9,right,mph,EST,harsh.sofa.kind,,Virginia,"Virginia Polytechnic Institute and State University, 800 Drillfield Drive, Blacksburg, VA 24061, United States of America"
1083,6469,0,NULL,NULL,NULL,NULL,51.5073,-0.127833,GBP,gcpvj0dgt60fw8fxg7cz,left,mph,GMT,stable.scared.mile,,,"London, United Kingdom"
1084,6471,0,NULL,NULL,NULL,NULL,24.1987,55.677,AED,thr9dvnxx3jk8sbu1n2f,right,km/h,+04,since.riddle.most,,"Abu Dhabi Emirate","United Arab Emirates University, G2 road, Asharej, Abu Dhabi Emirate, United Arab Emirates"
1085,6472,0,NULL,NULL,NULL,NULL,-6.89045,107.61,IDR,qqu8b9xknp380vt074tx,left,km/h,WIB,passwords.assure.reverses,Bandung,"West Java","Bandung Institute of Technology, Ganesha 10-12, Coblong, Bandung 40132, West Java, Indonesia"
1086,6473,0,NULL,NULL,NULL,NULL,37.5643,126.947,KRW,wydm8wruhgzz54wjvvu8,right,km/h,KST,sunk.perfume.shade,Seoul,,"Ewha Womans University, 52 Ewhayeodae-gil, Sinchon-dong, Seoul, 03760, South Korea"
1087,6474,0,NULL,NULL,NULL,NULL,25.0258,121.527,TWD,wsqqm7ucx6t52uesssn8,right,km/h,CST,festivity.shaped.blanked,Taipei,,"National Taiwan Normal University Heping Campus, 162 Heping East Road Section 1, Da'an District, Taipei 106, Taiwan"
1088,6475,0,NULL,NULL,NULL,NULL,34.402,132.712,JPY,wyn7eywnj1jzcj1e4ndx,left,km/h,JST,slices.register.splits,"Higashi Hiroshima","Hiroshima Prefecture","Hiroshima University, Deai-no-michi Street, 西条下見七丁目, Higashi Hiroshima, Hiroshima Prefecture 739-0047, Japan"
1089,6476,0,NULL,NULL,NULL,NULL,40.9529,-4.11867,EUR,ezm0fr2b5vnp0jnzvmrz,right,km/h,CET,gear.tower.passing,Segovia,"Castile and León","IE University, Paseo Santo Domingo de Guzmán, 40001 Segovia, Spain"
1090,6477,0,NULL,NULL,NULL,NULL,38.8995,-77.0482,USD,dqcjq9rjyxc5086nk52w,right,mph,EST,rents.sculpture.anyway,Washington,"District of Columbia","George Washington University, 1918 F Street Northwest, Washington, DC 20052, United States of America"
1091,6478,0,NULL,NULL,NULL,NULL,39.5,-0.75,EUR,ezp2wyvb5txqncmve8r7,right,km/h,CET,withdrew.longshot.unfairly,,Valencia,"Valencia, Spain"
1092,6479,0,NULL,NULL,NULL,NULL,50.0606,19.9305,PLN,u2yhv90zydgvv96bbj5v,right,km/h,CET,export.typist.insects,Krakow,"Lesser Poland Voivodeship","Faculty of Philosophy at the Jagiellonian University, Uniwersytet Jagielloński, 31-110 Krakow, Poland"
1093,6480,0,NULL,NULL,NULL,NULL,38.7511,-9.1562,EUR,eyckrwktkzrc6r73zque,right,km/h,WET,private.balanced.large,Lisbon,,"University of Lisbon, Avenida Professor Gama Pinto, 1649-028 Lisbon, Portugal"
1094,6481,0,NULL,NULL,NULL,NULL,34.3659,-89.5254,USD,dn07db1s5gt1pwcq3cq3,right,mph,CST,snooze.rate.drank,,Mississippi,"University, Lafayette County, Mississippi, United States of America"
1095,6482,0,NULL,NULL,NULL,NULL,50.9288,11.5899,EUR,u301xxr98hxy3cj5u3yv,right,km/h,CET,news.pizza.releases,,Thuringia,"Jena, Thuringia, Germany"
1096,6483,0,NULL,NULL,NULL,NULL,48.3984,9.99155,EUR,u0x576et5vx9m37b3kqr,right,km/h,CET,sobbed.project.enormous,,Baden-Württemberg,"Ulm, Baden-Württemberg, Germany"
1097,6485,0,NULL,NULL,NULL,NULL,42.339,-71.0879,USD,drt2y7e6ex60q24v6r8j,right,mph,EST,copper.smashes.lease,Boston,Massachusetts,"Northeastern University, 360 Huntington Avenue, Boston, MA 02115, United States of America"
1098,6486,0,NULL,NULL,NULL,NULL,-34.6132,-58.3772,ARS,69y7pdfgzcnmen5kgtq5,right,km/h,-03,abacus.surging.obeyed,,"Buenos Aires F.D.","Buenos Aires, Buenos Aires F.D., Argentina"
1099,6489,0,NULL,NULL,NULL,NULL,45.0637,7.65753,EUR,u0j2q7851641y176qy54,right,km/h,CET,suffice.litters.spoils,Turin,Piemont,"Politecnico di Torino, Corso Luigi Einaudi, 10129 Turin Torino, Italy"
1100,6490,0,NULL,NULL,NULL,NULL,51.5221,-0.128343,GBP,gcpvj569cmheb9xsbg9u,left,mph,GMT,shin.rock.windy,London,England,"University of London, Thornhaugh Street, London, WC1H 0XG, United Kingdom"
1101,6491,0,NULL,NULL,NULL,NULL,52.2378,21.0173,PLN,u3qcnm873xyb5hxf0xy9,right,km/h,CET,sending.rosette.complains,Warsaw,"Masovian Voivodeship","University of Warsaw, New World, 00-046 Warsaw, Poland"
1102,6492,0,NULL,NULL,NULL,NULL,53.8381,27.4762,BYN,u9ed30zt2z4mcmhr5pxx,right,km/h,+03,bought.pink.haunts,Minsk,,"Belarusian State University, Kastrychnitski District, Minsk, Belarus"
1103,6494,0,NULL,NULL,NULL,NULL,41.1525,-8.63968,EUR,ez3f57sf8chnzv0349r4,right,km/h,WET,wanting.remodel.surround,Porto,,"Science Faculty of Porto University, Rua do Campo Alegre s/n, 4169-007 Porto, Portugal"
1104,6495,0,NULL,NULL,NULL,NULL,40.7628,-111.837,USD,9x0rzhdus50phmyzhwt9,right,mph,MST,patrol.odds.join,"Salt Lake City",Utah,"University of Utah, 201 Presidents Circle, Salt Lake City, UT 84112, United States of America"
1105,6496,0,NULL,NULL,NULL,NULL,50.1022,14.3913,CZK,u2fjp2z6kf6rw4jz5c04,right,km/h,CET,tailing.bill.mull,Prague,Prague,"University of Chemistry and Technology in Prague, Technická, 160 00 Prague, Czechia"
1106,6497,0,NULL,NULL,NULL,NULL,39.8066,-75.9287,USD,dr442nw3uzjdu8kdtwen,right,mph,EST,tighter.prodigy.diner,"Lower Oxford Township",Pennsylvania,"Lincoln University, 1570 Baltimore Pike, Lower Oxford Township, PA 19352, United States of America"
1107,6498,0,NULL,NULL,NULL,NULL,14.655,121.055,PHP,wdw56eveb0g8xwxteg2w,right,km/h,PST,enforced.stress.winters,"Quezon City",,"University of the Philippines, Commonwealth Avenue, Quezon City, 1100, Philippines"
1108,6499,0,NULL,NULL,NULL,NULL,-22.8533,-43.2332,BRL,75cmbpwtd4gdr4fk6sj1,right,km/h,BRT,retina.junction.fragment,"Rio de Janeiro","Rio de Janeiro","Universidade Federal do Rio de Janeiro, Rua 113, Cidade Universitária, Rio de Janeiro - RJ, 21941-908, Brazil"
1109,6500,0,NULL,NULL,NULL,NULL,51.5326,-0.47405,GBP,gcptjjnz1ydgc082rje7,left,mph,GMT,hills.field.bind,London,England,"Brunel University London, Kingston Lane, London, UB8 3PW, United Kingdom"
1110,6501,0,NULL,NULL,NULL,NULL,63.448,10.4536,NOK,u5r2vyk5e2ysb28brqzv,right,km/h,CET,carrots.striving.haggle,Trondheim,,"Norwegian University of Science and Technology, Olav Engelbrektssons allé, 7040 Trondheim, Norway"
1111,6502,0,NULL,NULL,NULL,NULL,40.9091,-73.1206,USD,drk08p70xtkv40ev5qgw,right,mph,EST,flashback.farmland.disown,,"New York","Stony Brook University, 100 Nicolls Road, Suffolk County, NY 11794, United States of America"
1112,6503,0,NULL,NULL,NULL,NULL,35.7015,139.764,JPY,xn77h7m0qubcp2w17bcn,left,km/h,JST,skewed.flirts.crisper,Bunkyo,,"Tokyo Medical and Dental University, Jumokudanizaka, Yushima 1-chome, Bunkyo, 101-0021, Japan"
1113,6504,0,NULL,NULL,NULL,NULL,34.0556,-118.388,USD,9q5cdp8s51947ku9ypzv,right,mph,PST,added.groups.emerge,"Los Angeles",California,"Yeshiva University, South Crest Drive, Los Angeles, CA 90035, United States of America"
1114,6505,0,NULL,NULL,NULL,NULL,48.4621,-123.311,CAD,c2879yprgwv050cxr5jk,right,km/h,PST,port.spin.treating,,"British Columbia","University of Victoria, Alumni Chip Trail, Saanich, BC V8N 1E6, Canada"
1115,6506,0,NULL,NULL,NULL,NULL,56.8441,60.6506,RUB,v655khhmj9k60wqjncjw,right,km/h,+05,flicks.coached.highs,Yekaterinburg,"Sverdlovsk Oblast","Ural Federal University, улица Мира, Втузгородок, Yekaterinburg, Sverdlovsk Oblast, Russia, 620062"
1116,6507,0,NULL,NULL,NULL,NULL,34.3659,-89.5254,USD,dn07db1s5gt1pwcq3cq3,right,mph,CST,snooze.rate.drank,,Mississippi,"University, Lafayette County, Mississippi, United States of America"
1117,6508,0,NULL,NULL,NULL,NULL,36.9837,-122.072,USD,9q94qhttrv3565s7bhm4,right,mph,PST,tags.third.bleat,,California,"UCSC Connector/Cave Gulch, University of California Santa Cruz, CA 95064, United States of America"
1118,6509,0,NULL,NULL,NULL,NULL,39.102,117.161,CNY,wwgq6n6184261fc6wd28,right,km/h,CST,together.accent.trail,"Nankai District",Tianjin,"Nankai University, Baidi Road, 300084 Tianjin, China"
1119,6510,0,NULL,NULL,NULL,NULL,51.295,1.0673,GBP,u10gb3cpjgvreuhjc289,left,mph,GMT,amending.nibbled.shaves,Canterbury,England,"University of Kent, Moat Lane, Rough Common, CT2 9DX, United Kingdom"
1120,6511,0,NULL,NULL,NULL,NULL,51.8791,0.945054,GBP,u10xjs21mre3dzcmj0rz,left,mph,GMT,lung.added.draw,,England,"Colchester, CO4 3WA, United Kingdom"
1121,6512,0,NULL,NULL,NULL,NULL,35.6534,139.542,JPY,xn74z6e8kbb5xt4u8k3t,left,km/h,JST,entertainer.sifts.slogged,Chofu,,"American, Chofu Ginza, 小島町一丁目, Chofu, 182-0026, Japan"
1122,6513,0,NULL,NULL,NULL,NULL,51.5631,5.0436,EUR,u15t6fb8s75wgjfk64p1,right,km/h,CET,kitten.capers.magma,Tilburg,"North Brabant","Tilburg University, Ingenieurslaan, 5037 GK Tilburg, Netherlands"
